0,1,2,3,4
0.7659993767738342,0.7188498377799988,0.7198652029037476,0.7214747667312622,0.7206268906593323
0.7173620462417603,0.7131053805351257,0.7129747867584229,0.7156867980957031,0.7146304845809937
0.7131670117378235,0.7088342308998108,0.7087346911430359,0.7124543786048889,0.7101166248321533
0.7089642882347107,0.7048696279525757,0.704551100730896,0.7075977325439453,0.7059069275856018
0.7054497599601746,0.7010461091995239,0.7000609040260315,0.7036257982254028,0.7034894824028015
0.7027096748352051,0.6982482075691223,0.6961477398872375,0.7005771398544312,0.6998984217643738
0.7001712322235107,0.6954595446586609,0.693166196346283,0.6976233124732971,0.6972739100456238
0.6973233819007874,0.6921846866607666,0.68984454870224,0.6952915191650391,0.6952805519104004
0.6957360506057739,0.6901434063911438,0.6870412230491638,0.6923026442527771,0.6935859322547913
0.6943585872650146,0.6871669292449951,0.6827725768089294,0.6898112297058105,0.6922962665557861
0.6928064227104187,0.6846463084220886,0.6789748668670654,0.687544047832489,0.6911128163337708
0.6908921599388123,0.6827133893966675,0.6748113036155701,0.6852134466171265,0.6896114349365234
0.6896457672119141,0.6803908348083496,0.6711737513542175,0.683510959148407,0.687843918800354
0.6884711384773254,0.6781806945800781,0.6671237945556641,0.6805236339569092,0.6872472763061523
0.6874405741691589,0.6765559911727905,0.6622979044914246,0.6780254244804382,0.6859287619590759
0.6868455410003662,0.674953043460846,0.6583755612373352,0.6755224466323853,0.6840893030166626
0.6857161521911621,0.6730635166168213,0.6565628051757812,0.6721256375312805,0.6832544207572937
0.6843039989471436,0.6719012260437012,0.6524942517280579,0.6713380217552185,0.6818419098854065
0.6836432814598083,0.6705077886581421,0.6505559682846069,0.6667655110359192,0.6801397204399109
0.682137131690979,0.6692065000534058,0.6472464799880981,0.6642149686813354,0.6786562204360962
0.6834673285484314,0.6681698560714722,0.6453619599342346,0.6608287692070007,0.6771577000617981
0.681313693523407,0.6666420102119446,0.6449617743492126,0.657072901725769,0.6746589541435242
0.6807506084442139,0.6660885214805603,0.640695333480835,0.6536516547203064,0.6743506789207458
0.6796579957008362,0.6651501655578613,0.6371535658836365,0.6502893567085266,0.6691994071006775
0.6782727837562561,0.6645881533622742,0.635563313961029,0.6469662189483643,0.6661990880966187
0.6770798563957214,0.6631576418876648,0.6341656446456909,0.6432874798774719,0.6621732711791992
0.6762980222702026,0.6620575189590454,0.6312766075134277,0.6426231861114502,0.6588711142539978
